               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046168,            0.027873,            0.056209,             0.53168,             0.29652,             0.20546,             0.13066,            0.022748,           0.0082709,            0.031932,           0.0033312,           0.0033312,            0.070019
                   1,            0.033601,            0.021443,            0.044204,             0.36907,             0.43069,             0.31316,             0.20969,            0.021203,           0.0079682,            0.025609,           0.0066426,           0.0066426,            0.039997
                   2,            0.033129,            0.021764,            0.040628,             0.66423,             0.36327,              0.3789,             0.25505,            0.020968,           0.0082991,            0.022097,           0.0099319,           0.0099319,            0.009953
                   3,            0.031852,            0.022147,             0.03863,             0.62563,             0.41632,             0.42461,             0.29635,            0.018736,            0.007767,            0.018623,            0.009901,            0.009901,            0.009901
                   4,             0.02969,            0.021218,            0.036767,             0.67903,             0.43214,               0.466,             0.33026,            0.018263,           0.0074111,            0.017775,            0.009901,            0.009901,            0.009901
                   5,            0.028589,            0.020579,             0.03519,             0.70031,             0.46108,             0.50538,             0.37035,            0.016872,           0.0071083,            0.016033,            0.009868,            0.009868,            0.009868
                   6,             0.02786,            0.020293,            0.034553,             0.60605,             0.49685,             0.51636,             0.38216,            0.016304,            0.006876,            0.015639,            0.009835,            0.009835,            0.009835
                   7,            0.026884,             0.01968,            0.033385,             0.71637,             0.48603,             0.52742,             0.39346,            0.015965,           0.0067326,            0.015075,            0.009802,            0.009802,            0.009802
                   8,             0.02642,            0.019498,            0.032923,             0.72656,             0.49333,             0.54419,             0.41001,            0.015555,           0.0066342,            0.014698,            0.009769,            0.009769,            0.009769
                   9,            0.026014,            0.019326,            0.032456,             0.71384,             0.51613,             0.56199,             0.43002,            0.015068,           0.0065302,            0.013892,            0.009736,            0.009736,            0.009736
                  10,            0.025756,            0.019114,            0.031895,              0.6949,             0.54868,             0.58569,             0.45224,            0.014858,            0.006386,            0.013947,            0.009703,            0.009703,            0.009703
                  11,            0.025503,            0.018957,            0.031789,             0.70212,              0.5622,              0.6018,             0.47011,            0.014408,           0.0062369,            0.012742,             0.00967,             0.00967,             0.00967
                  12,            0.025087,            0.018772,             0.03143,             0.70784,             0.56243,             0.61096,             0.47947,            0.014303,           0.0061694,            0.012714,            0.009637,            0.009637,            0.009637
                  13,            0.025194,            0.018556,             0.03104,             0.74052,             0.54548,             0.62068,              0.4892,            0.014028,           0.0061183,             0.01231,            0.009604,            0.009604,            0.009604
                  14,            0.024859,            0.018475,            0.030711,             0.74434,             0.56286,             0.63154,             0.49937,            0.013903,           0.0060199,            0.011985,            0.009571,            0.009571,            0.009571
                  15,            0.024588,            0.018496,            0.030317,             0.75875,             0.56416,             0.64151,             0.51041,            0.013632,           0.0059711,            0.011765,            0.009538,            0.009538,            0.009538
                  16,            0.024555,            0.018381,            0.030365,             0.76061,             0.56802,             0.64687,             0.51727,            0.013436,           0.0058847,            0.011507,            0.009505,            0.009505,            0.009505
                  17,            0.024395,             0.01822,            0.030055,             0.74652,             0.59029,             0.65507,             0.52706,            0.013364,            0.005799,            0.011687,            0.009472,            0.009472,            0.009472
                  18,            0.024197,            0.018199,            0.029877,             0.76908,             0.57761,             0.66275,             0.53456,            0.013267,           0.0057618,            0.011057,            0.009439,            0.009439,            0.009439
                  19,             0.02403,            0.017896,            0.029629,              0.7674,             0.58607,              0.6751,             0.54768,            0.013111,            0.005683,            0.011026,            0.009406,            0.009406,            0.009406
                  20,            0.023947,            0.017968,            0.029326,             0.78205,             0.58488,             0.68051,             0.55342,            0.012922,           0.0056556,            0.010901,            0.009373,            0.009373,            0.009373
                  21,            0.023884,            0.017907,            0.029165,             0.70504,             0.61749,             0.68822,             0.56138,            0.012799,           0.0056336,            0.010812,             0.00934,             0.00934,             0.00934
                  22,            0.023832,            0.017975,            0.029082,             0.71605,             0.63565,             0.69887,             0.57159,            0.012703,           0.0055516,            0.010391,            0.009307,            0.009307,            0.009307
                  23,            0.023762,            0.017759,            0.029091,             0.73328,             0.62484,             0.69888,             0.57343,             0.01256,           0.0055124,            0.010069,            0.009274,            0.009274,            0.009274
                  24,            0.023606,            0.017649,             0.02871,             0.76016,             0.60682,             0.70964,              0.5824,            0.012486,           0.0054649,            0.010134,            0.009241,            0.009241,            0.009241
                  25,            0.023648,            0.017675,            0.029023,             0.66498,             0.70129,             0.71606,             0.58811,            0.012344,           0.0054453,            0.010075,            0.009208,            0.009208,            0.009208
                  26,            0.023591,             0.01766,            0.028563,             0.71287,             0.67319,             0.72042,             0.59388,            0.012333,           0.0054186,            0.010014,            0.009175,            0.009175,            0.009175
                  27,            0.023495,            0.017579,            0.028633,             0.73429,             0.66746,              0.7209,              0.5943,            0.012267,           0.0053919,           0.0098597,            0.009142,            0.009142,            0.009142
                  28,            0.023406,            0.017499,            0.028482,             0.72963,             0.67624,              0.7248,             0.59974,             0.01217,            0.005349,           0.0096067,            0.009109,            0.009109,            0.009109
                  29,              0.0233,            0.017393,            0.028121,             0.69145,             0.70227,             0.72536,             0.60266,            0.012138,           0.0053412,           0.0094381,            0.009076,            0.009076,            0.009076
                  30,            0.023187,            0.017478,            0.028222,             0.74712,              0.6793,             0.72764,             0.60371,            0.012041,           0.0053179,           0.0095382,            0.009043,            0.009043,            0.009043
                  31,            0.023387,            0.017469,            0.027968,             0.71486,             0.69758,             0.73197,             0.60868,            0.011935,            0.005281,           0.0094037,             0.00901,             0.00901,             0.00901
                  32,            0.023255,            0.017403,            0.028172,             0.75791,             0.66819,             0.73469,             0.61203,            0.011866,           0.0052711,           0.0092682,            0.008977,            0.008977,            0.008977
                  33,            0.023055,            0.017325,            0.027821,              0.7411,             0.68737,             0.73882,             0.61674,            0.011865,           0.0052509,           0.0091646,            0.008944,            0.008944,            0.008944
                  34,            0.023058,            0.017294,            0.027925,             0.74721,             0.68737,             0.74304,             0.62063,            0.011842,           0.0052289,           0.0091487,            0.008911,            0.008911,            0.008911
                  35,            0.022958,            0.017245,            0.027406,             0.75107,             0.68696,             0.74595,             0.62316,            0.011799,           0.0052158,           0.0090681,            0.008878,            0.008878,            0.008878
                  36,            0.023013,            0.017216,             0.02731,             0.73861,             0.69854,             0.74741,               0.624,            0.011731,           0.0052062,           0.0090208,            0.008845,            0.008845,            0.008845
                  37,            0.022986,            0.017132,            0.027602,             0.75708,              0.6831,             0.74853,             0.62559,            0.011688,           0.0051941,           0.0090023,            0.008812,            0.008812,            0.008812
                  38,            0.022993,            0.017163,            0.027233,             0.75792,             0.68099,              0.7516,             0.62875,             0.01166,           0.0051808,           0.0089457,            0.008779,            0.008779,            0.008779
                  39,             0.02278,            0.017218,            0.026954,             0.76029,             0.67847,             0.75367,             0.63111,            0.011643,           0.0051702,           0.0088726,            0.008746,            0.008746,            0.008746
                  40,            0.022589,              0.0171,            0.027191,             0.73961,             0.69539,             0.75652,             0.63326,            0.011623,           0.0051638,           0.0087749,            0.008713,            0.008713,            0.008713
                  41,            0.022805,            0.017162,            0.026916,             0.75253,             0.69256,             0.75829,             0.63535,            0.011607,           0.0051561,           0.0086946,             0.00868,             0.00868,             0.00868
                  42,            0.022615,            0.016947,            0.026877,             0.74628,             0.69927,             0.76057,             0.63731,            0.011588,           0.0051483,           0.0086386,            0.008647,            0.008647,            0.008647
                  43,             0.02264,            0.016929,            0.026811,             0.76267,             0.68611,             0.76221,             0.63855,            0.011574,           0.0051392,           0.0086037,            0.008614,            0.008614,            0.008614
                  44,            0.022758,            0.017023,            0.026726,             0.75497,             0.69534,             0.76372,             0.64005,            0.011563,           0.0051323,           0.0085606,            0.008581,            0.008581,            0.008581
                  45,            0.022712,            0.017014,            0.026807,             0.76025,              0.6937,             0.76523,             0.64061,            0.011548,           0.0051255,           0.0085198,            0.008548,            0.008548,            0.008548
                  46,            0.022614,             0.01698,            0.026649,              0.7506,             0.70289,             0.76628,             0.64149,            0.011533,           0.0051202,           0.0084902,            0.008515,            0.008515,            0.008515
                  47,            0.022532,            0.016859,            0.026454,             0.78784,             0.67847,             0.76783,             0.64372,            0.011513,           0.0051135,           0.0084532,            0.008482,            0.008482,            0.008482
                  48,            0.022193,            0.016813,             0.02645,             0.78978,             0.67939,             0.76931,             0.64487,             0.01149,           0.0051052,             0.00843,            0.008449,            0.008449,            0.008449
                  49,            0.022627,            0.016947,            0.026767,             0.79285,             0.68115,             0.77038,             0.64613,            0.011474,           0.0050966,           0.0083968,            0.008416,            0.008416,            0.008416
                  50,            0.022466,            0.016771,            0.026418,             0.79339,             0.68271,             0.77124,             0.64655,            0.011458,           0.0050895,           0.0083799,            0.008383,            0.008383,            0.008383
                  51,            0.022288,            0.016695,             0.02621,             0.79523,              0.6832,             0.77219,             0.64762,             0.01144,           0.0050827,           0.0083512,             0.00835,             0.00835,             0.00835
                  52,            0.022364,            0.016692,            0.026421,             0.79543,             0.68343,             0.77293,              0.6483,            0.011422,           0.0050758,           0.0083344,            0.008317,            0.008317,            0.008317
                  53,            0.022438,            0.016702,            0.026182,             0.79195,             0.68776,             0.77361,             0.64926,            0.011409,           0.0050679,           0.0083262,            0.008284,            0.008284,            0.008284
                  54,            0.022198,            0.016579,            0.025997,             0.80166,             0.68074,             0.77398,             0.64957,              0.0114,           0.0050609,           0.0083128,            0.008251,            0.008251,            0.008251
                  55,            0.022433,            0.016687,            0.026147,              0.7916,             0.68929,             0.77486,             0.65077,            0.011391,           0.0050544,           0.0082934,            0.008218,            0.008218,            0.008218
                  56,            0.022361,            0.016743,             0.02586,             0.79873,             0.68458,             0.77559,             0.65144,            0.011374,           0.0050478,           0.0082716,            0.008185,            0.008185,            0.008185
                  57,            0.022286,            0.016563,            0.025938,             0.80578,              0.6802,             0.77622,             0.65226,            0.011366,           0.0050424,           0.0082522,            0.008152,            0.008152,            0.008152
                  58,            0.022213,            0.016603,            0.026138,             0.78715,             0.69526,             0.77723,             0.65352,            0.011361,           0.0050364,           0.0082424,            0.008119,            0.008119,            0.008119
                  59,             0.02232,            0.016582,            0.025563,              0.7909,             0.69288,             0.77828,              0.6546,            0.011353,           0.0050304,           0.0082272,            0.008086,            0.008086,            0.008086
                  60,            0.022093,            0.016508,            0.025739,             0.79529,             0.69256,             0.77904,             0.65543,            0.011344,           0.0050255,           0.0082142,            0.008053,            0.008053,            0.008053
                  61,              0.0221,            0.016492,             0.02574,              0.7984,             0.69323,             0.77952,             0.65589,             0.01133,           0.0050192,           0.0081945,             0.00802,             0.00802,             0.00802
                  62,            0.022174,             0.01661,            0.025606,             0.79652,              0.6959,             0.78024,              0.6568,            0.011313,           0.0050135,            0.008186,            0.007987,            0.007987,            0.007987
                  63,              0.0221,            0.016474,            0.025542,             0.79945,             0.69599,             0.78097,             0.65826,            0.011301,           0.0050084,           0.0081689,            0.007954,            0.007954,            0.007954
                  64,            0.022105,            0.016475,            0.025429,             0.80245,             0.69426,              0.7814,             0.65837,            0.011291,           0.0050041,           0.0081556,            0.007921,            0.007921,            0.007921
                  65,            0.021971,            0.016544,            0.025366,             0.80033,             0.69671,             0.78214,             0.65947,             0.01128,           0.0049992,           0.0081432,            0.007888,            0.007888,            0.007888
                  66,            0.021973,            0.016435,            0.025673,             0.80819,             0.69176,             0.78316,             0.66092,            0.011269,           0.0049935,           0.0081227,            0.007855,            0.007855,            0.007855
                  67,             0.02187,            0.016536,            0.025726,             0.76374,             0.72748,             0.78389,             0.66213,            0.011261,           0.0049875,           0.0081047,            0.007822,            0.007822,            0.007822
                  68,            0.021998,            0.016462,            0.025134,             0.79705,             0.70594,             0.78513,             0.66342,            0.011249,           0.0049826,           0.0080777,            0.007789,            0.007789,            0.007789
